iso,country,EPI.new,HLT.new,AIR.new,WMG.new,region,GDP,Secondary_enrollment,Employment_rate,Unemployment,Urban Population
LCA,Saint Lucia,44.52,56.92,50.48,100.0,Latin America & Caribbean,14493.658470648,88.6818771362305,61.271,10.199,29.0973354237452
WSM,Samoa,39.29,44.58,43.26,26.6,Asia-Pacific,5392.87761915762,,40.992,4.855,17.5029115108018
STP,São Tomé & Príncipe,41.03,34.3,29.96,35.25,Sub-Saharan Africa,3502.6176807171,,21.272,9.057,68.8710170184884
SAU,Saudi Arabia,38.74,49.77,46.73,92.27,Greater Middle East,35527.786181866,,62.907,3.518,84.4554020211443
SEN,Senegal,33.34,29.29,25.97,5.1,Sub-Saharan Africa,1738.73223822106,44.0673682244069,50.404,2.788,55.2368169057304
SRB,Serbia,44.94,43.92,28.56,99.34,Eastern Europe,13677.7794863909,,54.879,7.24,62.3830029804177
SYC,Seychelles,50.03,65.85,68.7,84.4,Sub-Saharan Africa,18364.5259678223,74.2514404458298,,,45.2898622460415
SLE,Sierra Leone,29.26,21.62,22.73,15.07,Sub-Saharan Africa,806.654650274255,86.9079513549805,51.922,3.103,45.3626823156371
SGP,Singapore,46.06,74.3,65.91,100.0,Asia-Pacific,94896.5621495988,103.082801906213,67.308,2.737,100.0
SVK,Slovakia,62.37,66.35,63.12,96.7,Eastern Europe,25992.6748502048,92.6436767578125,57.576,5.3,53.1919702985684
SVN,Slovenia,64.95,72.69,62.06,82.37,Eastern Europe,34301.0318686594,107.626876831055,55.809,3.7,55.7577708405917
SLB,Solomon Islands,29.23,26.46,29.12,9.54,Asia-Pacific,1933.55538435227,,83.059,1.444,30.6617188562194
ZAF,South Africa,37.6,31.32,24.21,68.59,Sub-Saharan Africa,6267.186814093,104.133480684239,37.632,32.279,63.6917984858172
KOR,South Korea,52.65,75.64,64.1,94.07,Asia-Pacific,36238.639908315,96.2983932495117,62.67,2.784,81.1682528469686
ESP,Spain,66.28,82.73,76.65,100.0,Global West,35326.7683069278,118.361709594727,51.249,11.4,80.315199821207
LKA,Sri Lanka,39.58,31.93,23.2,22.54,Southern Asia,4545.36006870612,87.9534065332114,46.54,4.239,20.2996997058686
VCT,St. Vincent & the Gren.,46.12,52.85,49.64,100.0,Latin America & Caribbean,11501.2265187188,125.381038491346,55.727,18.093,47.8487050456749
SDN,Sudan,31.31,18.01,11.82,27.06,Greater Middle East,984.607666015625,,,,34.8673015510839
SUR,Suriname,44.54,38.09,35.69,5.0,Latin America & Caribbean,6961.78956060258,76.1109237670898,49.732,7.621,65.7641857200885
SWE,Sweden,69.2,95.89,96.79,96.6,Global West,57222.7100565003,134.244293212891,59.298,8.4,88.8559748346228
CHE,Switzerland,64.06,88.66,85.42,100.0,Global West,107702.065940312,102.965591430664,64.189,4.343,85.4615370020764
TJK,Tajikistan,26.75,17.48,13.97,0.0,Former Soviet States,1362.02559981695,88.4022015902249,35.647,7.041,26.1788063651548
TZA,Tanzania,38.89,36.61,35.47,7.5,Sub-Saharan Africa,1192.60668945313,,82.445,1.557,36.1684458862992
THA,Thailand,43.74,45.05,36.76,34.55,Asia-Pacific,7386.63615126055,93.3356315272258,66.604,0.781,61.8689338391321
TLS,Timor-Leste,41.53,33.42,34.58,0.0,Asia-Pacific,1331.9705130185,,65.746,1.523,28.6641074179574
TGO,Togo,31.3,21.1,20.79,13.84,Sub-Saharan Africa,1266.08777721447,63.4192515229188,56.758,1.948,43.8148491605996
TON,Tonga,33.06,46.71,45.73,41.3,Asia-Pacific,6215.38990974121,91.8606656320055,49.209,1.965,21.1505271125521
TTO,Trinidad & Tobago,45.9,61.19,60.13,100.0,Latin America & Caribbean,18733.4110406494,92.9377899169922,56.223,3.318,53.961056681951
TUN,Tunisia,41.05,45.28,38.63,79.0,Greater Middle East,4187.64079392362,,38.508,15.341,70.3585355691955
TUR,Türkiye,34.32,53.61,48.9,93.48,Eastern Europe,15892.7157287241,118.411979675293,49.43,8.8,89.3443122873887
TKM,Turkmenistan,34.64,43.85,50.42,1.0,Former Soviet States,5904.25772576512,102.546752929688,40.473,4.02,47.0875253910294
UGA,Uganda,34.69,33.14,31.06,40.0,Sub-Saharan Africa,1077.91278438613,,77.781,2.74,31.2777698213557
UKR,Ukraine,51.12,47.63,38.43,90.84,Former Soviet States,5391.62255859375,87.0823822021484,,,69.5315643200148
ARE,United Arab Emirates,50.16,59.24,48.4,100.0,Greater Middle East,50273.5126243239,101.944972436447,76.789,2.16,85.8171088279791
GBR,United Kingdom,71.51,84.39,77.47,97.03,Global West,53341.3131094262,112.120048522949,58.871,4.361,83.2429544416085
USA,United States,58.54,83.58,79.73,100.0,Global West,86169.6641581917,,59.467,4.022,80.1247798047184
URY,Uruguay,36.91,64.51,60.57,94.76,Latin America & Caribbean,24308.4954958447,119.105005958635,59.681,8.209,95.5981951588181
UZB,Uzbekistan,34.79,30.15,18.45,86.06,Former Soviet States,3337.45492058664,97.3839945834102,55.14,4.439,50.9986686706543
VUT,Vanuatu,34.1,33.53,38.96,1.68,Asia-Pacific,3959.87703462363,134.670675170038,55.434,4.988,22.2866933360645
VNM,Viet Nam,23.82,36.71,23.95,68.25,Asia-Pacific,4716.6599379632,,71.963,1.602,38.4900703430176
ZMB,Zambia,37.17,26.53,24.89,6.0,Sub-Saharan Africa,1187.10943350064,,58.251,5.898,45.4703838491279
ZWE,Zimbabwe,46.08,35.94,36.47,42.81,Sub-Saharan Africa,2496.15514995576,,61.335,9.435,39.8933716820696
